time,n_waiting,n_busy
300.0000,0,3
301.5000,0,2
303.0000,0,2
304.5000,0,3
306.0000,0,1
307.5000,0,2
309.0000,0,3
310.5000,0,2
312.0000,0,0
313.5000,0,1
315.0000,0,4
316.5000,0,2
318.0000,1,4
319.5000,4,4
321.0000,1,4
322.5000,8,4
324.0000,7,4
325.5000,6,4
327.0000,5,4
328.5000,8,4
330.0000,7,4
331.5000,7,4
333.0000,5,4
334.5000,4,4
336.0000,3,4
337.5000,9,4
339.0000,15,4
340.5000,12,4
342.0000,13,4
343.5000,9,4
345.0000,6,4
346.5000,6,4
348.0000,6,4
349.5000,8,4
351.0000,7,4
352.5000,7,4
354.0000,4,4
355.5000,6,4
357.0000,4,4
358.5000,1,4
360.0000,1,4
361.5000,4,4
363.0000,4,4
364.5000,0,4
366.0000,0,4
367.5000,1,4
369.0000,0,4
370.5000,0,2
372.0000,0,2
373.5000,5,4
375.0000,0,3
376.5000,0,2
378.0000,0,1
379.5000,0,3
381.0000,0,2
382.5000,0,0
384.0000,0,4
385.5000,0,3
387.0000,0,0
388.5000,2,4
390.0000,0,3
391.5000,0,2
393.0000,0,0
394.5000,0,1
396.0000,0,1
397.5000,0,4
399.0000,0,2
400.5000,0,1
402.0000,6,4
403.5000,5,4
405.0000,5,4
406.5000,2,4
408.0000,0,3
409.5000,3,4
411.0000,3,4
412.5000,4,4
414.0000,5,4
415.5000,4,4
417.0000,0,2
418.5000,0,3
420.0000,0,2
421.5000,0,4
423.0000,0,2
424.5000,0,2
426.0000,3,4
427.5000,0,2
429.0000,0,0
430.5000,0,1
432.0000,0,1
433.5000,0,2
435.0000,0,1
436.5000,0,1
438.0000,0,0
439.5000,0,1
441.0000,0,2
442.5000,0,1
444.0000,0,1
445.5000,0,0
447.0000,0,1
448.5000,0,0
450.0000,0,0
451.5000,0,0
453.0000,0,0
454.5000,0,3
456.0000,0,3
457.5000,2,4
459.0000,8,4
460.5000,3,4
462.0000,0,4
463.5000,0,4
465.0000,2,4
466.5000,0,4
468.0000,0,1
469.5000,0,1
471.0000,0,2
472.5000,0,4
474.0000,0,2
475.5000,0,3
477.0000,0,4
478.5000,0,1
480.0000,0,1
481.5000,0,0
483.0000,0,1
484.5000,0,4
486.0000,0,4
487.5000,0,4
489.0000,0,2
490.5000,0,2
492.0000,2,4
493.5000,1,4
495.0000,0,2
496.5000,2,4
498.0000,1,4
499.5000,0,2
501.0000,0,1
502.5000,0,2
504.0000,0,4
505.5000,0,3
507.0000,0,4
508.5000,0,1
510.0000,0,4
511.5000,0,2
513.0000,0,3
514.5000,0,2
516.0000,0,1
517.5000,0,4
519.0000,0,2
520.5000,0,1
522.0000,0,0
523.5000,2,4
525.0000,0,4
526.5000,0,1
528.0000,0,0
529.5000,1,4
531.0000,6,4
532.5000,0,2
534.0000,0,1
535.5000,0,0
537.0000,3,4
538.5000,1,4
540.0000,2,4
541.5000,0,1
543.0000,0,2
544.5000,0,1
546.0000,0,0
547.5000,0,1
549.0000,0,3
550.5000,0,1
552.0000,0,3
553.5000,0,3
555.0000,7,4
556.5000,6,4
558.0000,5,4
559.5000,5,4
561.0000,10,4
562.5000,10,4
564.0000,9,4
565.5000,5,4
567.0000,16,4
568.5000,16,4
570.0000,19,4
571.5000,18,4
573.0000,19,4
574.5000,27,4
576.0000,25,4
577.5000,24,4
579.0000,19,4
580.5000,17,4
582.0000,20,4
583.5000,18,4
585.0000,25,4
586.5000,24,4
588.0000,22,4
589.5000,22,4
591.0000,23,4
592.5000,21,4
594.0000,15,4
595.5000,16,4
597.0000,18,4
598.5000,25,4
600.0000,31,4
601.5000,35,4
603.0000,31,4
604.5000,27,4
606.0000,28,4
607.5000,27,4
609.0000,27,4
610.5000,25,4
612.0000,26,4
613.5000,27,4
615.0000,24,4
616.5000,24,4
618.0000,22,4
619.5000,17,4
621.0000,14,4
622.5000,15,4
624.0000,12,4
625.5000,12,4
627.0000,8,4
628.5000,3,4
630.0000,1,4
631.5000,1,4
633.0000,0,2
634.5000,0,0
636.0000,0,0
637.5000,1,4
639.0000,2,4
640.5000,0,2
642.0000,0,1
643.5000,0,0
645.0000,0,0
646.5000,0,3
648.0000,0,2
649.5000,0,0
651.0000,0,4
652.5000,3,4
654.0000,3,4
655.5000,0,2
657.0000,0,1
658.5000,0,0
660.0000,0,0
661.5000,0,1
663.0000,0,1
664.5000,0,3
666.0000,0,0
667.5000,0,0
669.0000,0,0
670.5000,0,0
672.0000,0,1
673.5000,0,3
675.0000,1,4
676.5000,8,4
678.0000,7,4
679.5000,11,4
681.0000,10,4
682.5000,9,4
684.0000,6,4
685.5000,10,4
687.0000,6,4
688.5000,7,4
690.0000,1,4
691.5000,3,4
693.0000,0,2
694.5000,0,3
696.0000,0,1
697.5000,0,1
699.0000,0,0
700.5000,0,0
702.0000,0,0
703.5000,0,0
705.0000,0,4
706.5000,0,1
708.0000,0,2
709.5000,0,1
711.0000,1,4
712.5000,3,4
714.0000,3,4
715.5000,0,3
717.0000,1,4
718.5000,0,3
720.0000,0,2
721.5000,2,4
723.0000,0,1
724.5000,2,4
726.0000,1,4
727.5000,1,4
729.0000,0,4
730.5000,0,3
732.0000,0,0
733.5000,3,4
735.0000,1,4
736.5000,0,4
738.0000,7,4
739.5000,7,4
741.0000,5,4
742.5000,1,4
744.0000,0,3
745.5000,1,4
747.0000,0,1
748.5000,0,3
750.0000,0,1
751.5000,0,2
753.0000,4,4
754.5000,0,3
756.0000,0,1
757.5000,0,0
759.0000,0,0
760.5000,0,0
762.0000,0,4
763.5000,0,1
765.0000,0,3
766.5000,0,1
768.0000,0,3
769.5000,0,1
771.0000,0,0
772.5000,0,1
774.0000,0,0
775.5000,0,0
777.0000,0,2
778.5000,2,4
780.0000,1,4
781.5000,0,3
783.0000,0,2
784.5000,0,0
786.0000,0,0
787.5000,0,0
789.0000,0,0
790.5000,0,4
792.0000,6,4
793.5000,2,4
795.0000,6,4
796.5000,5,4
798.0000,2,4
799.5000,5,4
801.0000,5,4
802.5000,3,4
804.0000,0,4
805.5000,0,1
807.0000,0,2
808.5000,0,2
810.0000,2,4
811.5000,6,4
813.0000,5,4
814.5000,3,4
816.0000,5,4
817.5000,3,4
819.0000,5,4
820.5000,0,3
822.0000,0,4
823.5000,1,4
825.0000,5,4
826.5000,0,3
828.0000,0,2
829.5000,0,3
831.0000,0,1
832.5000,0,3
834.0000,5,4
835.5000,3,4
837.0000,3,4
838.5000,8,4
840.0000,9,4
841.5000,9,4
843.0000,6,4
844.5000,7,4
846.0000,6,4
847.5000,6,4
849.0000,2,4
850.5000,16,4
852.0000,18,4
853.5000,23,4
855.0000,17,4
856.5000,15,4
858.0000,15,4
859.5000,11,4
861.0000,13,4
862.5000,13,4
864.0000,10,4
865.5000,11,4
867.0000,10,4
868.5000,4,4
870.0000,0,3
871.5000,0,3
873.0000,1,4
874.5000,5,4
876.0000,0,3
877.5000,0,2
879.0000,0,2
880.5000,0,2
882.0000,1,4
883.5000,1,4
885.0000,0,1
886.5000,0,2
888.0000,0,2
889.5000,0,2
891.0000,1,4
892.5000,0,2
894.0000,0,1
895.5000,0,3
897.0000,0,0
898.5000,0,0
900.0000,0,1
901.5000,0,2
903.0000,0,1
904.5000,0,1
906.0000,0,2
907.5000,0,2
909.0000,0,0
910.5000,0,0
912.0000,0,0
913.5000,0,4
915.0000,0,3
916.5000,0,2
918.0000,1,4
919.5000,2,4
921.0000,0,4
922.5000,5,4
924.0000,4,4
925.5000,9,4
927.0000,12,4
928.5000,10,4
930.0000,13,4
931.5000,13,4
933.0000,9,4
934.5000,9,4
936.0000,11,4
937.5000,0,3
939.0000,1,4
940.5000,1,4
942.0000,3,4
943.5000,3,4
945.0000,2,4
946.5000,1,4
948.0000,0,2
949.5000,0,3
951.0000,5,4
952.5000,0,2
954.0000,0,2
955.5000,0,0
957.0000,0,3
958.5000,0,4
960.0000,0,3
961.5000,0,2
963.0000,0,0
964.5000,0,0
966.0000,0,1
967.5000,0,3
969.0000,0,3
970.5000,0,2
972.0000,0,1
973.5000,0,3
975.0000,0,3
976.5000,0,1
978.0000,0,0
979.5000,0,1
981.0000,0,1
982.5000,0,1
984.0000,0,2
985.5000,0,2
987.0000,0,2
988.5000,0,2
990.0000,0,4
991.5000,0,0
993.0000,0,2
994.5000,3,4
996.0000,3,4
997.5000,0,3
999.0000,0,3
1000.5000,0,4
1002.0000,0,3
1003.5000,0,1
1005.0000,0,1
1006.5000,0,1
1008.0000,5,4
1009.5000,2,4
1011.0000,1,4
1012.5000,12,4
1014.0000,12,4
1015.5000,8,4
1017.0000,6,4
1018.5000,1,4
1020.0000,0,2
1021.5000,0,1
1023.0000,0,1
1024.5000,0,1
1026.0000,0,3
1027.5000,0,2
1029.0000,0,4
1030.5000,0,4
1032.0000,0,2
1033.5000,0,3
1035.0000,0,1
1036.5000,0,1
1038.0000,0,4
1039.5000,0,2
1041.0000,3,4
1042.5000,0,4
1044.0000,0,3
1045.5000,3,4
1047.0000,1,4
1048.5000,3,4
1050.0000,0,3
1051.5000,0,3
1053.0000,0,2
1054.5000,0,2
1056.0000,0,3
1057.5000,0,4
1059.0000,3,4
1060.5000,2,4
1062.0000,1,4
1063.5000,10,4
1065.0000,7,4
1066.5000,3,4
1068.0000,4,4
1069.5000,2,4
1071.0000,6,4
1072.5000,8,4
1074.0000,5,4
1075.5000,5,4
1077.0000,4,4
1078.5000,8,4
1080.0000,12,4
1081.5000,10,4
1083.0000,4,4
1084.5000,2,4
1086.0000,0,4
1087.5000,3,4
1089.0000,0,2
1090.5000,0,1
1092.0000,0,1
1093.5000,0,0
1095.0000,0,0
1096.5000,0,2
1098.0000,0,2
1099.5000,0,1
1101.0000,0,2
1102.5000,0,2
1104.0000,0,2
1105.5000,0,3
1107.0000,1,4
1108.5000,2,4
1110.0000,0,4
1111.5000,0,4
1113.0000,0,3
1114.5000,0,1
1116.0000,0,1
1117.5000,0,1
1119.0000,0,4
1120.5000,0,3
1122.0000,0,0
1123.5000,0,1
1125.0000,0,1
1126.5000,0,2
1128.0000,0,1
1129.5000,0,2
1131.0000,0,2
1132.5000,0,1
1134.0000,0,2
1135.5000,5,4
1137.0000,8,4
1138.5000,8,4
1140.0000,5,4
1141.5000,0,3
1143.0000,0,0
1144.5000,0,3
1146.0000,2,4
1147.5000,0,3
1149.0000,5,4
1150.5000,3,4
1152.0000,1,4
1153.5000,0,0
1155.0000,0,1
1156.5000,0,4
1158.0000,0,1
1159.5000,0,0
1161.0000,0,0
1162.5000,0,0
1164.0000,0,3
1165.5000,0,3
1167.0000,0,3
1168.5000,0,1
1170.0000,0,1
1171.5000,4,4
1173.0000,8,4
1174.5000,6,4
1176.0000,2,4
1177.5000,2,4
1179.0000,0,3
1180.5000,0,1
1182.0000,0,1
1183.5000,0,2
1185.0000,0,3
1186.5000,0,0
1188.0000,0,0
1189.5000,0,1
1191.0000,0,0
1192.5000,0,2
1194.0000,0,0
1195.5000,0,0
1197.0000,0,2
1198.5000,0,2
1200.0000,0,1
1201.5000,0,0
1203.0000,0,1
1204.5000,0,0
1206.0000,0,0
1207.5000,0,0
1209.0000,0,2
1210.5000,0,2
1212.0000,4,4
1213.5000,0,2
1215.0000,0,1
1216.5000,0,0
1218.0000,3,4
1219.5000,2,4
1221.0000,0,3
1222.5000,0,1
1224.0000,0,1
1225.5000,0,1
1227.0000,0,2
1228.5000,0,3
1230.0000,0,2
1231.5000,0,2
1233.0000,0,0
1234.5000,0,0
1236.0000,0,2
1237.5000,0,4
1239.0000,0,4
1240.5000,0,3
1242.0000,0,3
1243.5000,0,4
1245.0000,0,1
1246.5000,1,4
1248.0000,0,2
1249.5000,0,2
1251.0000,0,1
1252.5000,0,1
1254.0000,0,4
1255.5000,0,4
1257.0000,1,4
1258.5000,2,4
1260.0000,1,4
1261.5000,1,4
1263.0000,0,3
1264.5000,1,4
1266.0000,3,4
1267.5000,0,3
1269.0000,0,2
1270.5000,0,3
1272.0000,0,2
1273.5000,0,0
1275.0000,0,0
1276.5000,0,0
1278.0000,0,3
1279.5000,0,4
1281.0000,0,1
1282.5000,0,1
1284.0000,0,0
1285.5000,0,0
1287.0000,2,4
1288.5000,3,4
1290.0000,0,3
1291.5000,1,4
1293.0000,0,1
1294.5000,0,1
1296.0000,0,3
1297.5000,0,3
1299.0000,0,3
1300.5000,0,2
1302.0000,0,2
1303.5000,0,1
1305.0000,0,1
1306.5000,0,3
1308.0000,0,3
1309.5000,1,4
1311.0000,0,2
1312.5000,0,2
1314.0000,0,3
1315.5000,0,3
1317.0000,0,1
1318.5000,0,1
1320.0000,0,0
1321.5000,0,2
1323.0000,0,0
1324.5000,0,1
1326.0000,0,0
1327.5000,0,2
1329.0000,0,1
1330.5000,0,2
1332.0000,1,4
1333.5000,0,4
1335.0000,0,2
1336.5000,0,2
1338.0000,0,2
1339.5000,0,2
1341.0000,0,3
1342.5000,0,2
1344.0000,0,4
1345.5000,2,4
1347.0000,0,4
1348.5000,0,0
1350.0000,3,4
1351.5000,0,4
1353.0000,0,3
1354.5000,0,2
1356.0000,6,4
1357.5000,4,4
1359.0000,0,2
1360.5000,0,2
1362.0000,0,1
1363.5000,0,2
1365.0000,0,3
1366.5000,1,4
1368.0000,0,3
1369.5000,0,0
1371.0000,0,1
1372.5000,0,1
1374.0000,0,1
1375.5000,0,0
1377.0000,0,2
1378.5000,0,3
1380.0000,1,4
1381.5000,0,4
1383.0000,0,3
1384.5000,0,0
1386.0000,0,0
1387.5000,0,0
1389.0000,0,1
1390.5000,1,4
1392.0000,0,2
1393.5000,0,3
1395.0000,0,1
1396.5000,0,2
1398.0000,0,2
1399.5000,0,2
1401.0000,0,1
1402.5000,0,0
1404.0000,0,3
1405.5000,0,4
1407.0000,0,3
1408.5000,0,3
1410.0000,0,2
1411.5000,0,4
1413.0000,0,2
1414.5000,0,4
1416.0000,0,2
1417.5000,1,4
1419.0000,0,3
1420.5000,0,1
1422.0000,0,1
1423.5000,0,0
1425.0000,0,0
1426.5000,0,0
1428.0000,0,0
1429.5000,0,0
1431.0000,0,2
1432.5000,0,4
1434.0000,0,2
1435.5000,0,4
1437.0000,0,4
1438.5000,0,3
1440.0000,0,3
1441.5000,2,4
1443.0000,0,1
1444.5000,0,0
1446.0000,0,0
1447.5000,0,0
1449.0000,0,0
1450.5000,1,4
1452.0000,4,4
1453.5000,0,4
1455.0000,11,4
1456.5000,10,4
1458.0000,8,4
1459.5000,3,4
1461.0000,0,1
1462.5000,0,3
1464.0000,5,4
1465.5000,3,4
1467.0000,0,2
1468.5000,0,2
1470.0000,0,1
1471.5000,0,1
1473.0000,0,0
1474.5000,0,3
1476.0000,5,4
1477.5000,0,3
1479.0000,0,3
1480.5000,0,0
1482.0000,0,1
1483.5000,0,1
1485.0000,0,0
1486.5000,6,4
1488.0000,6,4
1489.5000,5,4
1491.0000,3,4
1492.5000,0,4
1494.0000,0,2
1495.5000,0,3
1497.0000,0,4
1498.5000,5,4
1500.0000,6,4
1501.5000,3,4
1503.0000,0,2
1504.5000,0,1
1506.0000,1,4
1507.5000,1,4
1509.0000,1,4
1510.5000,0,1
1512.0000,0,1
1513.5000,0,0
1515.0000,0,0
1516.5000,0,0
1518.0000,0,1
1519.5000,0,1
1521.0000,0,1
1522.5000,0,2
1524.0000,6,4
1525.5000,7,4
1527.0000,5,4
1528.5000,6,4
1530.0000,6,4
1531.5000,5,4
1533.0000,7,4
1534.5000,6,4
1536.0000,4,4
1537.5000,1,4
1539.0000,0,2
1540.5000,0,1
1542.0000,0,4
1543.5000,0,3
1545.0000,1,4
1546.5000,0,2
1548.0000,2,4
1549.5000,3,4
1551.0000,3,4
1552.5000,1,4
1554.0000,0,3
1555.5000,0,0
1557.0000,0,3
1558.5000,0,2
1560.0000,0,1
1561.5000,0,1
1563.0000,0,0
1564.5000,0,3
1566.0000,4,4
1567.5000,3,4
1569.0000,0,2
1570.5000,0,0
1572.0000,0,2
1573.5000,0,1
1575.0000,0,2
1576.5000,0,2
1578.0000,0,1
1579.5000,0,1
1581.0000,0,4
1582.5000,0,1
1584.0000,0,3
1585.5000,1,4
1587.0000,4,4
