time,n_waiting,n_busy
300.0000,0,1
301.5000,1,4
303.0000,3,4
304.5000,5,4
306.0000,0,2
307.5000,0,1
309.0000,0,1
310.5000,0,0
312.0000,0,4
313.5000,0,2
315.0000,0,2
316.5000,0,0
318.0000,0,2
319.5000,0,1
321.0000,0,3
322.5000,0,2
324.0000,0,1
325.5000,0,1
327.0000,0,1
328.5000,0,2
330.0000,0,1
331.5000,0,2
333.0000,0,4
334.5000,3,4
336.0000,5,4
337.5000,3,4
339.0000,2,4
340.5000,0,2
342.0000,0,3
343.5000,0,2
345.0000,0,0
346.5000,0,2
348.0000,0,4
349.5000,0,2
351.0000,0,2
352.5000,0,3
354.0000,0,2
355.5000,0,3
357.0000,2,4
358.5000,0,4
360.0000,0,0
361.5000,0,0
363.0000,0,0
364.5000,0,0
366.0000,0,3
367.5000,3,4
369.0000,2,4
370.5000,4,4
372.0000,0,4
373.5000,0,3
375.0000,1,4
376.5000,0,2
378.0000,6,4
379.5000,3,4
381.0000,0,3
382.5000,0,2
384.0000,0,3
385.5000,0,4
387.0000,7,4
388.5000,4,4
390.0000,0,3
391.5000,0,1
393.0000,0,2
394.5000,0,1
396.0000,0,0
397.5000,0,4
399.0000,0,3
400.5000,1,4
402.0000,0,3
403.5000,0,2
405.0000,0,1
406.5000,0,1
408.0000,0,1
409.5000,0,0
411.0000,1,4
412.5000,2,4
414.0000,2,4
415.5000,2,4
417.0000,1,4
418.5000,1,4
420.0000,0,3
421.5000,0,4
423.0000,0,2
424.5000,0,1
426.0000,0,0
427.5000,0,2
429.0000,0,4
430.5000,0,3
432.0000,0,2
433.5000,0,1
435.0000,0,0
436.5000,0,2
438.0000,0,1
439.5000,0,2
441.0000,0,1
442.5000,0,1
444.0000,0,4
445.5000,0,4
447.0000,0,2
448.5000,0,1
450.0000,0,0
451.5000,0,0
453.0000,0,0
454.5000,0,0
456.0000,0,2
457.5000,1,4
459.0000,0,1
460.5000,0,2
462.0000,0,0
463.5000,0,1
465.0000,0,0
466.5000,0,0
468.0000,0,0
469.5000,0,1
471.0000,0,1
472.5000,1,4
474.0000,0,1
475.5000,0,3
477.0000,0,3
478.5000,0,0
480.0000,0,0
481.5000,0,0
483.0000,0,3
484.5000,3,4
486.0000,4,4
487.5000,2,4
489.0000,0,2
490.5000,0,1
492.0000,1,4
493.5000,1,4
495.0000,0,1
496.5000,0,0
498.0000,0,0
499.5000,0,0
501.0000,0,2
502.5000,0,1
504.0000,0,1
505.5000,0,4
507.0000,1,4
508.5000,0,4
510.0000,0,2
511.5000,1,4
513.0000,0,2
514.5000,0,1
516.0000,0,1
517.5000,0,1
519.0000,0,2
520.5000,0,0
522.0000,0,1
523.5000,0,1
525.0000,0,3
526.5000,0,4
528.0000,1,4
529.5000,3,4
531.0000,0,2
532.5000,0,1
534.0000,1,4
535.5000,0,2
537.0000,0,1
538.5000,0,2
540.0000,1,4
541.5000,0,0
543.0000,0,0
544.5000,0,3
546.0000,0,0
547.5000,0,0
549.0000,0,1
550.5000,0,1
552.0000,0,1
553.5000,0,3
555.0000,0,3
556.5000,0,0
558.0000,0,1
559.5000,0,1
561.0000,0,2
562.5000,0,3
564.0000,0,1
565.5000,0,1
567.0000,0,0
568.5000,0,3
570.0000,0,3
571.5000,0,4
573.0000,11,4
574.5000,8,4
576.0000,2,4
577.5000,4,4
579.0000,4,4
580.5000,0,4
582.0000,0,3
583.5000,0,3
585.0000,0,2
586.5000,0,2
588.0000,0,4
589.5000,0,0
591.0000,1,4
592.5000,7,4
594.0000,9,4
595.5000,5,4
597.0000,2,4
598.5000,0,4
600.0000,1,4
601.5000,0,3
603.0000,0,0
604.5000,0,1
606.0000,0,2
607.5000,0,1
609.0000,3,4
610.5000,0,3
612.0000,0,2
613.5000,0,0
615.0000,0,0
616.5000,0,3
618.0000,0,3
619.5000,0,1
621.0000,0,0
622.5000,0,4
624.0000,0,1
625.5000,3,4
627.0000,5,4
628.5000,2,4
630.0000,0,3
631.5000,0,2
633.0000,0,0
634.5000,0,0
636.0000,1,4
637.5000,4,4
639.0000,3,4
640.5000,0,3
642.0000,0,2
643.5000,0,2
645.0000,4,4
646.5000,3,4
648.0000,0,2
649.5000,0,3
651.0000,2,4
652.5000,2,4
654.0000,2,4
655.5000,1,4
657.0000,1,4
658.5000,0,1
660.0000,2,4
661.5000,0,3
663.0000,3,4
664.5000,0,2
666.0000,0,1
667.5000,0,1
669.0000,0,0
670.5000,0,1
672.0000,0,0
673.5000,0,1
675.0000,2,4
676.5000,0,4
678.0000,0,2
679.5000,0,4
681.0000,0,2
682.5000,0,3
684.0000,0,2
685.5000,0,2
687.0000,0,1
688.5000,0,1
690.0000,0,2
691.5000,6,4
693.0000,4,4
694.5000,3,4
696.0000,0,3
697.5000,0,4
699.0000,2,4
700.5000,6,4
702.0000,2,4
703.5000,0,2
705.0000,0,2
706.5000,0,2
708.0000,0,4
709.5000,0,3
711.0000,4,4
712.5000,7,4
714.0000,1,4
715.5000,4,4
717.0000,0,3
718.5000,0,2
720.0000,0,1
721.5000,0,2
723.0000,0,2
724.5000,0,1
726.0000,0,0
727.5000,0,0
729.0000,0,1
730.5000,0,3
732.0000,2,4
733.5000,0,4
735.0000,0,3
736.5000,0,1
738.0000,2,4
739.5000,1,4
741.0000,2,4
742.5000,7,4
744.0000,5,4
745.5000,3,4
747.0000,0,4
748.5000,9,4
750.0000,7,4
751.5000,11,4
753.0000,7,4
754.5000,2,4
756.0000,4,4
757.5000,5,4
759.0000,4,4
760.5000,3,4
762.0000,0,4
763.5000,0,2
765.0000,2,4
766.5000,0,2
768.0000,0,0
769.5000,0,0
771.0000,0,0
772.5000,0,1
774.0000,0,0
775.5000,0,0
777.0000,0,0
778.5000,0,1
780.0000,0,0
781.5000,0,1
783.0000,0,1
784.5000,0,1
786.0000,0,0
787.5000,0,3
789.0000,0,2
790.5000,0,2
792.0000,0,3
793.5000,2,4
795.0000,3,4
796.5000,0,2
798.0000,0,3
799.5000,0,0
801.0000,0,0
802.5000,0,1
804.0000,0,1
805.5000,0,0
807.0000,0,0
808.5000,0,0
810.0000,0,0
811.5000,0,2
813.0000,0,0
814.5000,0,0
816.0000,0,1
817.5000,0,0
819.0000,0,0
820.5000,0,3
822.0000,0,2
823.5000,0,2
825.0000,0,1
826.5000,0,0
828.0000,0,0
829.5000,0,0
831.0000,0,1
832.5000,1,4
834.0000,3,4
835.5000,9,4
837.0000,9,4
838.5000,4,4
840.0000,3,4
841.5000,8,4
843.0000,10,4
844.5000,9,4
846.0000,7,4
847.5000,9,4
849.0000,9,4
850.5000,6,4
852.0000,8,4
853.5000,6,4
855.0000,8,4
856.5000,6,4
858.0000,4,4
859.5000,0,4
861.0000,0,1
862.5000,1,4
