time,n_waiting,n_busy
300.0000,0,3
301.5000,0,1
303.0000,0,1
304.5000,0,3
306.0000,4,4
307.5000,1,4
309.0000,1,4
310.5000,0,3
312.0000,0,4
313.5000,0,3
315.0000,0,4
316.5000,0,2
318.0000,2,4
319.5000,0,4
321.0000,0,3
322.5000,0,2
324.0000,0,2
325.5000,0,2
327.0000,0,1
328.5000,0,3
330.0000,0,4
331.5000,0,1
333.0000,0,1
334.5000,0,3
336.0000,2,4
337.5000,3,4
339.0000,1,4
340.5000,7,4
342.0000,11,4
343.5000,10,4
345.0000,19,4
346.5000,18,4
348.0000,16,4
349.5000,15,4
351.0000,13,4
352.5000,14,4
354.0000,11,4
355.5000,11,4
357.0000,16,4
358.5000,13,4
360.0000,21,4
361.5000,18,4
363.0000,16,4
364.5000,17,4
366.0000,17,4
367.5000,16,4
369.0000,14,4
370.5000,12,4
372.0000,7,4
373.5000,5,4
375.0000,9,4
376.5000,13,4
378.0000,9,4
379.5000,6,4
381.0000,8,4
382.5000,6,4
384.0000,2,4
385.5000,0,2
387.0000,5,4
388.5000,5,4
390.0000,5,4
391.5000,1,4
393.0000,0,3
394.5000,0,1
396.0000,0,1
397.5000,0,1
399.0000,0,1
400.5000,0,1
402.0000,0,1
403.5000,0,3
405.0000,1,4
406.5000,0,4
408.0000,2,4
409.5000,0,4
411.0000,0,0
412.5000,0,1
414.0000,0,0
415.5000,0,1
417.0000,1,4
418.5000,0,3
420.0000,0,3
421.5000,0,3
423.0000,0,2
424.5000,3,4
426.0000,0,2
427.5000,0,1
429.0000,0,1
430.5000,0,0
432.0000,0,0
433.5000,0,4
435.0000,1,4
436.5000,0,2
438.0000,6,4
439.5000,0,3
441.0000,0,2
442.5000,0,2
444.0000,1,4
445.5000,0,4
447.0000,2,4
448.5000,0,2
450.0000,2,4
451.5000,0,4
453.0000,0,1
454.5000,0,3
456.0000,0,1
457.5000,0,1
459.0000,0,0
460.5000,0,0
462.0000,0,1
463.5000,0,3
465.0000,0,4
466.5000,0,2
468.0000,0,1
469.5000,0,1
471.0000,0,4
472.5000,4,4
474.0000,0,4
475.5000,0,1
477.0000,0,0
478.5000,0,0
480.0000,0,0
481.5000,0,1
483.0000,0,1
484.5000,0,1
486.0000,0,0
487.5000,0,0
489.0000,0,2
490.5000,0,2
492.0000,0,0
493.5000,0,0
495.0000,0,0
496.5000,0,0
498.0000,0,0
