time,n_waiting,n_busy
300.0000,4,4
301.5000,3,4
303.0000,0,4
304.5000,0,1
306.0000,0,0
307.5000,0,0
309.0000,0,0
310.5000,0,2
312.0000,0,1
313.5000,0,2
315.0000,0,2
316.5000,0,1
318.0000,0,1
319.5000,0,1
321.0000,0,0
322.5000,1,4
324.0000,0,2
325.5000,0,2
327.0000,0,2
328.5000,0,4
330.0000,0,1
331.5000,0,4
333.0000,0,0
334.5000,0,0
336.0000,0,0
337.5000,3,4
339.0000,0,0
340.5000,0,2
342.0000,0,2
343.5000,0,3
345.0000,0,3
346.5000,0,2
348.0000,1,4
349.5000,0,4
351.0000,0,3
352.5000,0,2
354.0000,0,1
355.5000,0,2
357.0000,0,0
358.5000,0,2
360.0000,0,1
361.5000,0,4
363.0000,4,4
364.5000,4,4
366.0000,3,4
367.5000,0,2
369.0000,0,0
370.5000,0,0
372.0000,1,4
373.5000,0,3
375.0000,0,4
376.5000,0,1
378.0000,0,2
379.5000,0,2
381.0000,0,4
382.5000,0,1
384.0000,5,4
385.5000,0,3
387.0000,6,4
388.5000,7,4
390.0000,1,4
391.5000,2,4
393.0000,0,4
394.5000,2,4
396.0000,0,2
397.5000,2,4
399.0000,1,4
400.5000,3,4
402.0000,13,4
403.5000,14,4
405.0000,16,4
406.5000,15,4
408.0000,14,4
409.5000,10,4
411.0000,8,4
412.5000,2,4
414.0000,2,4
415.5000,0,0
417.0000,0,0
418.5000,0,1
420.0000,0,4
421.5000,3,4
423.0000,1,4
424.5000,0,3
426.0000,0,3
427.5000,0,3
429.0000,0,2
430.5000,7,4
432.0000,4,4
433.5000,4,4
435.0000,6,4
436.5000,0,4
438.0000,0,1
439.5000,0,2
441.0000,0,0
442.5000,0,3
444.0000,0,2
445.5000,0,3
447.0000,0,1
448.5000,0,3
450.0000,0,4
451.5000,0,0
453.0000,0,3
454.5000,2,4
456.0000,0,3
457.5000,0,0
459.0000,0,0
460.5000,0,0
462.0000,0,0
463.5000,0,0
465.0000,0,3
466.5000,1,4
468.0000,0,4
469.5000,0,2
471.0000,5,4
472.5000,7,4
474.0000,3,4
475.5000,3,4
477.0000,8,4
478.5000,6,4
480.0000,6,4
481.5000,5,4
483.0000,3,4
484.5000,4,4
486.0000,0,3
487.5000,0,1
489.0000,5,4
490.5000,2,4
492.0000,1,4
493.5000,2,4
495.0000,0,4
496.5000,0,0
498.0000,0,2
499.5000,0,2
501.0000,0,2
502.5000,5,4
504.0000,4,4
505.5000,4,4
507.0000,0,4
508.5000,0,2
510.0000,0,1
511.5000,1,4
513.0000,1,4
514.5000,0,1
516.0000,0,2
517.5000,0,1
519.0000,6,4
520.5000,4,4
522.0000,3,4
523.5000,0,3
525.0000,0,3
526.5000,11,4
528.0000,9,4
529.5000,3,4
531.0000,5,4
532.5000,2,4
534.0000,1,4
535.5000,0,3
537.0000,0,1
538.5000,0,1
540.0000,0,2
541.5000,0,1
543.0000,0,0
544.5000,0,0
546.0000,0,0
547.5000,1,4
549.0000,4,4
550.5000,5,4
552.0000,5,4
553.5000,9,4
555.0000,6,4
556.5000,3,4
558.0000,5,4
559.5000,1,4
561.0000,4,4
562.5000,2,4
564.0000,1,4
565.5000,2,4
567.0000,0,2
568.5000,4,4
570.0000,2,4
571.5000,1,4
573.0000,1,4
574.5000,0,3
576.0000,4,4
577.5000,3,4
579.0000,0,4
580.5000,0,1
582.0000,0,2
583.5000,0,2
585.0000,7,4
586.5000,3,4
588.0000,1,4
589.5000,0,4
591.0000,0,4
592.5000,0,4
594.0000,2,4
595.5000,2,4
597.0000,0,3
598.5000,0,3
600.0000,0,0
601.5000,0,4
603.0000,0,4
604.5000,0,2
606.0000,0,4
607.5000,0,4
609.0000,0,3
610.5000,0,3
612.0000,0,3
613.5000,2,4
615.0000,0,2
616.5000,0,2
618.0000,0,3
619.5000,0,3
621.0000,2,4
622.5000,7,4
624.0000,4,4
625.5000,0,1
627.0000,0,1
628.5000,0,1
630.0000,0,0
631.5000,0,0
633.0000,0,0
634.5000,0,1
636.0000,0,1
637.5000,0,1
639.0000,2,4
640.5000,0,1
642.0000,0,4
643.5000,3,4
645.0000,8,4
646.5000,9,4
648.0000,7,4
649.5000,5,4
651.0000,0,2
652.5000,0,1
654.0000,0,1
655.5000,0,1
657.0000,0,1
658.5000,0,2
660.0000,0,1
661.5000,0,0
663.0000,0,0
664.5000,0,0
666.0000,0,2
667.5000,0,3
669.0000,2,4
670.5000,0,3
672.0000,3,4
673.5000,0,3
675.0000,0,2
676.5000,0,3
678.0000,0,4
679.5000,0,1
681.0000,0,3
682.5000,2,4
684.0000,0,2
685.5000,0,4
687.0000,0,2
688.5000,0,0
690.0000,1,4
691.5000,2,4
693.0000,0,4
694.5000,0,3
696.0000,0,1
697.5000,0,2
699.0000,0,0
700.5000,0,2
702.0000,0,0
703.5000,0,2
705.0000,0,2
706.5000,2,4
708.0000,0,3
709.5000,0,4
711.0000,0,2
712.5000,3,4
714.0000,2,4
715.5000,2,4
717.0000,2,4
718.5000,5,4
720.0000,1,4
721.5000,0,2
723.0000,6,4
724.5000,4,4
726.0000,1,4
727.5000,0,4
729.0000,0,1
730.5000,0,1
732.0000,0,1
733.5000,0,0
735.0000,0,0
736.5000,0,1
738.0000,0,1
739.5000,0,2
741.0000,0,0
742.5000,0,0
744.0000,0,0
745.5000,2,4
747.0000,0,2
748.5000,0,3
750.0000,2,4
751.5000,1,4
753.0000,1,4
754.5000,7,4
756.0000,6,4
757.5000,9,4
759.0000,9,4
760.5000,7,4
762.0000,6,4
763.5000,9,4
765.0000,4,4
766.5000,2,4
768.0000,2,4
769.5000,3,4
771.0000,1,4
772.5000,1,4
774.0000,2,4
775.5000,0,2
777.0000,0,4
778.5000,1,4
780.0000,0,3
781.5000,0,1
783.0000,0,1
784.5000,0,0
786.0000,0,0
787.5000,0,2
789.0000,0,2
790.5000,0,0
792.0000,0,0
793.5000,1,4
795.0000,5,4
796.5000,3,4
798.0000,0,1
799.5000,0,2
801.0000,0,1
802.5000,0,4
804.0000,0,2
805.5000,3,4
807.0000,4,4
808.5000,3,4
810.0000,0,4
811.5000,2,4
813.0000,1,4
814.5000,0,4
816.0000,3,4
817.5000,6,4
819.0000,8,4
820.5000,7,4
822.0000,3,4
823.5000,0,2
825.0000,0,2
826.5000,0,3
828.0000,0,2
829.5000,0,1
831.0000,0,0
832.5000,0,0
834.0000,0,1
835.5000,0,0
837.0000,0,3
838.5000,0,4
840.0000,0,0
841.5000,0,0
843.0000,2,4
844.5000,5,4
846.0000,13,4
847.5000,14,4
849.0000,10,4
850.5000,4,4
852.0000,2,4
853.5000,1,4
855.0000,0,1
856.5000,3,4
858.0000,2,4
859.5000,13,4
861.0000,11,4
862.5000,8,4
864.0000,9,4
865.5000,8,4
867.0000,5,4
868.5000,3,4
870.0000,2,4
871.5000,4,4
873.0000,0,4
874.5000,6,4
876.0000,10,4
877.5000,12,4
879.0000,13,4
