time,n_waiting,n_busy
300.0000,3,4
301.5000,3,4
303.0000,0,1
304.5000,0,1
306.0000,0,2
307.5000,0,3
309.0000,0,2
310.5000,0,1
312.0000,0,2
313.5000,0,4
315.0000,5,4
316.5000,1,4
318.0000,0,2
319.5000,0,4
321.0000,0,0
322.5000,0,0
324.0000,0,4
325.5000,0,2
327.0000,0,3
328.5000,0,3
330.0000,0,2
331.5000,0,2
333.0000,0,2
334.5000,0,3
336.0000,1,4
337.5000,0,1
339.0000,1,4
340.5000,0,3
342.0000,0,3
343.5000,0,1
345.0000,0,1
346.5000,0,2
348.0000,0,1
349.5000,0,1
351.0000,0,2
352.5000,3,4
354.0000,0,4
355.5000,0,1
357.0000,0,0
358.5000,0,1
360.0000,0,1
361.5000,0,1
363.0000,0,0
364.5000,0,2
366.0000,0,1
367.5000,0,2
369.0000,0,1
370.5000,0,0
372.0000,0,0
373.5000,0,2
375.0000,0,3
376.5000,0,3
378.0000,0,1
379.5000,0,1
381.0000,0,2
382.5000,0,3
384.0000,8,4
385.5000,10,4
387.0000,15,4
388.5000,12,4
390.0000,7,4
391.5000,6,4
393.0000,6,4
394.5000,3,4
396.0000,4,4
397.5000,2,4
399.0000,0,1
400.5000,2,4
402.0000,5,4
403.5000,0,4
405.0000,0,3
406.5000,0,4
408.0000,0,3
409.5000,1,4
411.0000,0,3
412.5000,0,1
414.0000,0,0
415.5000,0,0
417.0000,0,2
418.5000,0,0
420.0000,0,0
421.5000,0,0
423.0000,0,0
424.5000,0,2
426.0000,2,4
427.5000,0,4
429.0000,0,2
430.5000,0,1
432.0000,0,2
433.5000,0,2
435.0000,0,1
436.5000,0,3
438.0000,0,1
439.5000,0,3
441.0000,0,4
442.5000,0,1
444.0000,2,4
445.5000,1,4
447.0000,0,2
448.5000,0,1
450.0000,0,1
451.5000,0,0
453.0000,0,0
454.5000,0,0
456.0000,0,0
457.5000,0,0
459.0000,0,4
460.5000,1,4
462.0000,0,2
463.5000,1,4
465.0000,0,3
466.5000,3,4
468.0000,4,4
469.5000,0,2
471.0000,0,2
472.5000,5,4
474.0000,13,4
475.5000,11,4
477.0000,13,4
478.5000,12,4
480.0000,11,4
481.5000,18,4
483.0000,17,4
484.5000,13,4
486.0000,11,4
487.5000,6,4
489.0000,3,4
490.5000,4,4
492.0000,3,4
493.5000,1,4
495.0000,0,3
496.5000,0,2
498.0000,2,4
499.5000,0,3
501.0000,2,4
502.5000,6,4
504.0000,2,4
505.5000,0,3
507.0000,0,1
508.5000,0,3
510.0000,0,2
511.5000,2,4
513.0000,0,1
514.5000,0,0
516.0000,0,4
517.5000,0,2
519.0000,3,4
520.5000,14,4
522.0000,11,4
523.5000,12,4
525.0000,15,4
526.5000,16,4
528.0000,15,4
529.5000,19,4
531.0000,25,4
532.5000,24,4
534.0000,25,4
535.5000,24,4
537.0000,23,4
538.5000,17,4
540.0000,18,4
541.5000,17,4
543.0000,22,4
544.5000,35,4
546.0000,31,4
547.5000,23,4
549.0000,18,4
550.5000,16,4
552.0000,12,4
553.5000,12,4
555.0000,7,4
556.5000,7,4
558.0000,7,4
559.5000,6,4
561.0000,2,4
562.5000,3,4
564.0000,6,4
565.5000,11,4
567.0000,14,4
568.5000,11,4
570.0000,17,4
571.5000,10,4
573.0000,8,4
574.5000,8,4
576.0000,5,4
577.5000,9,4
579.0000,5,4
580.5000,1,4
582.0000,4,4
583.5000,9,4
585.0000,6,4
586.5000,13,4
588.0000,13,4
589.5000,12,4
591.0000,11,4
592.5000,8,4
594.0000,12,4
595.5000,15,4
597.0000,13,4
598.5000,11,4
600.0000,9,4
601.5000,9,4
603.0000,15,4
604.5000,17,4
606.0000,15,4
607.5000,9,4
609.0000,3,4
610.5000,1,4
612.0000,0,2
613.5000,0,1
