time,n_waiting,n_busy
300.0000,3,4
301.5000,2,4
303.0000,2,4
304.5000,0,3
306.0000,1,4
307.5000,8,4
309.0000,5,4
310.5000,2,4
312.0000,1,4
313.5000,0,4
315.0000,0,2
316.5000,0,2
318.0000,0,0
319.5000,0,4
321.0000,0,4
322.5000,1,4
324.0000,0,3
325.5000,0,0
327.0000,0,1
328.5000,5,4
330.0000,9,4
331.5000,10,4
333.0000,4,4
334.5000,1,4
336.0000,2,4
337.5000,0,4
339.0000,0,0
340.5000,0,1
342.0000,0,0
343.5000,0,2
345.0000,0,2
346.5000,0,2
348.0000,0,2
349.5000,0,2
351.0000,0,2
352.5000,0,1
354.0000,0,1
355.5000,0,3
357.0000,0,1
358.5000,0,1
360.0000,2,4
361.5000,0,4
363.0000,3,4
364.5000,0,2
366.0000,0,3
367.5000,5,4
369.0000,14,4
370.5000,13,4
372.0000,9,4
373.5000,11,4
375.0000,6,4
376.5000,9,4
378.0000,7,4
379.5000,3,4
381.0000,0,4
382.5000,0,2
384.0000,0,1
385.5000,0,3
387.0000,0,2
388.5000,0,4
390.0000,0,3
391.5000,1,4
393.0000,0,1
394.5000,0,4
396.0000,0,1
397.5000,0,2
399.0000,0,4
400.5000,0,3
402.0000,1,4
403.5000,0,3
405.0000,0,2
406.5000,0,0
408.0000,0,0
409.5000,0,1
411.0000,0,3
412.5000,1,4
414.0000,4,4
415.5000,4,4
417.0000,3,4
418.5000,2,4
420.0000,0,1
421.5000,0,1
423.0000,0,3
424.5000,0,1
426.0000,0,0
427.5000,0,2
429.0000,0,4
430.5000,4,4
432.0000,0,2
433.5000,1,4
435.0000,0,4
436.5000,2,4
438.0000,3,4
439.5000,1,4
441.0000,0,3
442.5000,0,2
444.0000,0,2
445.5000,0,4
447.0000,1,4
448.5000,0,3
450.0000,0,1
451.5000,0,0
453.0000,0,0
454.5000,2,4
456.0000,0,4
457.5000,0,2
459.0000,0,2
460.5000,0,0
462.0000,0,0
463.5000,0,2
465.0000,0,1
466.5000,1,4
468.0000,3,4
469.5000,3,4
471.0000,1,4
472.5000,0,4
474.0000,0,3
475.5000,0,1
477.0000,0,2
478.5000,0,1
480.0000,0,0
481.5000,0,4
483.0000,0,1
484.5000,4,4
486.0000,0,4
487.5000,0,4
489.0000,0,4
490.5000,0,1
492.0000,0,1
493.5000,0,0
495.0000,0,1
496.5000,0,4
498.0000,0,3
499.5000,14,4
501.0000,13,4
502.5000,12,4
504.0000,11,4
505.5000,9,4
507.0000,12,4
508.5000,19,4
510.0000,16,4
511.5000,15,4
513.0000,11,4
514.5000,14,4
516.0000,15,4
517.5000,16,4
519.0000,13,4
520.5000,11,4
522.0000,11,4
523.5000,13,4
525.0000,12,4
526.5000,11,4
528.0000,13,4
529.5000,16,4
531.0000,15,4
532.5000,15,4
534.0000,7,4
535.5000,5,4
537.0000,1,4
538.5000,0,4
540.0000,0,0
541.5000,0,0
543.0000,0,0
544.5000,0,0
546.0000,0,2
547.5000,0,2
549.0000,0,3
550.5000,2,4
552.0000,0,1
553.5000,0,2
555.0000,0,3
556.5000,6,4
558.0000,4,4
559.5000,2,4
561.0000,3,4
562.5000,9,4
564.0000,5,4
565.5000,6,4
567.0000,8,4
568.5000,4,4
570.0000,7,4
571.5000,12,4
573.0000,12,4
574.5000,13,4
576.0000,9,4
577.5000,10,4
579.0000,4,4
580.5000,10,4
582.0000,12,4
583.5000,11,4
585.0000,11,4
586.5000,9,4
588.0000,2,4
589.5000,1,4
591.0000,0,0
592.5000,0,3
594.0000,0,1
595.5000,0,3
597.0000,3,4
598.5000,0,2
600.0000,0,1
601.5000,0,1
603.0000,0,0
604.5000,0,1
606.0000,0,0
607.5000,1,4
609.0000,3,4
610.5000,0,4
612.0000,2,4
613.5000,0,3
615.0000,0,3
616.5000,0,1
618.0000,0,0
619.5000,0,0
621.0000,0,0
622.5000,0,2
624.0000,0,1
625.5000,0,1
627.0000,0,1
628.5000,0,1
630.0000,1,4
631.5000,0,2
633.0000,0,3
634.5000,0,2
636.0000,0,0
637.5000,0,0
639.0000,3,4
640.5000,7,4
642.0000,4,4
643.5000,7,4
645.0000,8,4
646.5000,7,4
648.0000,6,4
649.5000,3,4
651.0000,1,4
652.5000,0,4
654.0000,0,2
655.5000,1,4
657.0000,0,3
658.5000,0,1
660.0000,3,4
661.5000,5,4
663.0000,0,3
664.5000,4,4
666.0000,3,4
667.5000,0,3
669.0000,0,3
670.5000,0,4
672.0000,1,4
673.5000,0,1
675.0000,0,1
676.5000,0,1
678.0000,1,4
679.5000,2,4
681.0000,1,4
682.5000,4,4
684.0000,7,4
685.5000,8,4
687.0000,4,4
688.5000,3,4
690.0000,0,4
691.5000,0,3
693.0000,0,1
694.5000,0,0
696.0000,0,0
697.5000,0,2
699.0000,1,4
700.5000,2,4
702.0000,7,4
703.5000,0,3
705.0000,0,2
706.5000,0,3
708.0000,0,1
709.5000,0,4
711.0000,12,4
712.5000,9,4
714.0000,11,4
715.5000,9,4
717.0000,6,4
718.5000,6,4
720.0000,6,4
721.5000,2,4
723.0000,2,4
724.5000,1,4
726.0000,0,2
727.5000,0,1
729.0000,0,0
730.5000,0,0
732.0000,3,4
733.5000,6,4
735.0000,8,4
736.5000,7,4
738.0000,7,4
739.5000,9,4
741.0000,7,4
742.5000,5,4
744.0000,5,4
745.5000,3,4
747.0000,9,4
748.5000,4,4
750.0000,3,4
751.5000,4,4
753.0000,0,3
754.5000,0,0
756.0000,0,1
757.5000,2,4
759.0000,0,2
760.5000,0,0
762.0000,0,1
763.5000,0,3
765.0000,0,1
766.5000,0,1
768.0000,0,1
769.5000,0,1
771.0000,0,2
772.5000,0,2
774.0000,0,2
775.5000,0,1
777.0000,0,1
778.5000,0,1
780.0000,0,1
781.5000,1,4
783.0000,0,1
784.5000,0,0
786.0000,0,1
787.5000,0,1
789.0000,0,4
790.5000,4,4
792.0000,2,4
793.5000,6,4
795.0000,6,4
796.5000,7,4
798.0000,7,4
799.5000,2,4
801.0000,0,1
802.5000,0,2
804.0000,1,4
805.5000,0,2
807.0000,0,1
808.5000,0,1
810.0000,0,0
811.5000,0,0
813.0000,0,0
814.5000,0,3
816.0000,6,4
817.5000,5,4
819.0000,1,4
820.5000,0,4
822.0000,0,2
823.5000,0,2
825.0000,0,1
826.5000,0,1
828.0000,0,2
829.5000,0,1
831.0000,0,3
832.5000,0,2
834.0000,0,1
835.5000,2,4
837.0000,0,3
838.5000,0,4
840.0000,0,4
841.5000,0,1
843.0000,0,1
844.5000,0,1
846.0000,0,1
847.5000,0,2
849.0000,0,0
850.5000,0,1
852.0000,0,3
853.5000,1,4
855.0000,0,2
856.5000,0,1
858.0000,0,4
859.5000,0,1
861.0000,0,2
862.5000,0,1
864.0000,0,2
865.5000,0,3
867.0000,0,2
868.5000,0,1
870.0000,0,2
871.5000,0,0
873.0000,0,0
874.5000,0,0
876.0000,0,2
877.5000,5,4
879.0000,3,4
880.5000,5,4
882.0000,1,4
883.5000,2,4
885.0000,0,4
886.5000,0,4
888.0000,0,4
889.5000,0,2
891.0000,0,1
892.5000,1,4
894.0000,0,3
895.5000,0,2
897.0000,0,3
898.5000,0,2
900.0000,0,4
901.5000,0,3
903.0000,0,1
904.5000,0,3
906.0000,0,3
907.5000,0,3
909.0000,0,3
910.5000,0,2
912.0000,0,1
913.5000,0,0
915.0000,0,2
916.5000,0,0
918.0000,0,1
919.5000,0,0
921.0000,0,4
922.5000,0,3
924.0000,0,0
925.5000,0,3
927.0000,0,1
928.5000,0,2
930.0000,0,0
931.5000,0,1
933.0000,0,0
934.5000,2,4
936.0000,0,3
937.5000,0,1
939.0000,0,0
940.5000,0,4
942.0000,0,3
943.5000,0,3
945.0000,1,4
946.5000,1,4
948.0000,0,2
949.5000,0,2
951.0000,0,4
952.5000,0,3
954.0000,0,4
955.5000,3,4
957.0000,1,4
958.5000,3,4
960.0000,1,4
961.5000,0,3
963.0000,0,1
964.5000,0,1
966.0000,4,4
967.5000,11,4
969.0000,8,4
970.5000,6,4
972.0000,7,4
973.5000,3,4
975.0000,0,3
976.5000,0,1
978.0000,0,2
979.5000,2,4
981.0000,0,3
982.5000,0,3
984.0000,0,0
985.5000,0,0
987.0000,0,0
988.5000,0,0
990.0000,0,1
991.5000,0,0
993.0000,0,0
994.5000,0,4
996.0000,0,2
997.5000,0,0
999.0000,0,0
1000.5000,0,0
1002.0000,0,0
1003.5000,0,0
1005.0000,0,2
1006.5000,5,4
1008.0000,8,4
1009.5000,5,4
1011.0000,1,4
1012.5000,3,4
1014.0000,1,4
1015.5000,0,3
1017.0000,0,3
1018.5000,0,1
1020.0000,0,1
1021.5000,0,1
1023.0000,0,2
1024.5000,0,3
1026.0000,0,1
1027.5000,0,1
1029.0000,0,1
1030.5000,0,1
1032.0000,2,4
1033.5000,0,4
1035.0000,0,3
1036.5000,0,2
1038.0000,0,1
1039.5000,0,3
1041.0000,0,1
1042.5000,0,1
1044.0000,0,1
1045.5000,0,2
1047.0000,0,2
1048.5000,0,2
1050.0000,0,2
1051.5000,0,2
1053.0000,0,1
1054.5000,0,1
1056.0000,0,1
1057.5000,0,1
1059.0000,0,2
1060.5000,0,1
1062.0000,0,1
1063.5000,3,4
1065.0000,2,4
1066.5000,0,3
1068.0000,0,0
1069.5000,0,2
1071.0000,0,2
1072.5000,0,1
1074.0000,0,1
1075.5000,0,0
1077.0000,0,2
1078.5000,0,0
1080.0000,0,3
1081.5000,0,3
1083.0000,0,4
1084.5000,1,4
1086.0000,0,4
1087.5000,0,3
1089.0000,0,2
1090.5000,0,2
1092.0000,0,1
1093.5000,0,3
1095.0000,0,2
1096.5000,0,2
1098.0000,5,4
1099.5000,5,4
1101.0000,3,4
1102.5000,0,2
1104.0000,0,3
1105.5000,2,4
1107.0000,3,4
1108.5000,3,4
1110.0000,2,4
1111.5000,1,4
1113.0000,0,2
1114.5000,0,1
1116.0000,0,3
1117.5000,0,0
1119.0000,0,0
1120.5000,0,0
1122.0000,0,0
1123.5000,0,0
1125.0000,0,0
1126.5000,0,1
1128.0000,0,0
1129.5000,0,2
1131.0000,1,4
1132.5000,0,3
1134.0000,0,2
1135.5000,0,1
1137.0000,3,4
1138.5000,1,4
1140.0000,0,1
1141.5000,0,4
1143.0000,5,4
1144.5000,4,4
1146.0000,1,4
1147.5000,0,4
1149.0000,0,4
1150.5000,4,4
1152.0000,2,4
1153.5000,1,4
1155.0000,0,2
1156.5000,0,3
1158.0000,0,3
1159.5000,2,4
1161.0000,3,4
1162.5000,1,4
1164.0000,0,1
1165.5000,0,2
1167.0000,0,4
1168.5000,0,3
1170.0000,0,1
1171.5000,0,1
1173.0000,0,2
1174.5000,0,1
1176.0000,0,0
1177.5000,0,2
1179.0000,0,2
1180.5000,0,4
1182.0000,0,3
1183.5000,3,4
1185.0000,4,4
1186.5000,1,4
