time,n_waiting,n_busy
831.0000,0,4
832.5000,0,2
834.0000,0,1
835.5000,0,2
837.0000,8,4
838.5000,6,4
840.0000,0,3
841.5000,0,4
843.0000,0,1
844.5000,0,0
846.0000,0,0
847.5000,0,0
849.0000,0,0
850.5000,0,1
852.0000,0,3
853.5000,0,3
855.0000,3,4
856.5000,0,4
858.0000,3,4
859.5000,0,4
861.0000,0,3
862.5000,1,4
864.0000,0,3
865.5000,0,2
867.0000,0,3
868.5000,0,2
870.0000,0,1
871.5000,6,4
873.0000,12,4
874.5000,10,4
876.0000,17,4
877.5000,15,4
879.0000,12,4
880.5000,10,4
882.0000,5,4
883.5000,6,4
885.0000,5,4
886.5000,0,3
888.0000,0,0
889.5000,4,4
891.0000,5,4
892.5000,0,3
894.0000,4,4
895.5000,0,4
897.0000,0,2
898.5000,1,4
900.0000,1,4
901.5000,0,2
903.0000,0,3
904.5000,3,4
906.0000,0,3
907.5000,0,2
909.0000,5,4
910.5000,6,4
912.0000,3,4
913.5000,1,4
915.0000,5,4
916.5000,9,4
918.0000,8,4
919.5000,7,4
921.0000,6,4
922.5000,5,4
924.0000,4,4
925.5000,0,4
927.0000,0,4
928.5000,0,1
930.0000,0,1
931.5000,0,0
933.0000,0,1
934.5000,0,0
936.0000,0,0
937.5000,0,0
939.0000,5,4
940.5000,4,4
942.0000,2,4
943.5000,0,4
945.0000,0,2
946.5000,0,3
948.0000,0,0
949.5000,0,1
951.0000,1,4
952.5000,1,4
954.0000,7,4
955.5000,7,4
957.0000,5,4
958.5000,5,4
960.0000,2,4
961.5000,0,3
963.0000,0,0
964.5000,0,1
966.0000,0,1
967.5000,0,0
969.0000,0,0
970.5000,0,2
972.0000,0,3
973.5000,1,4
975.0000,4,4
976.5000,0,4
978.0000,2,4
979.5000,0,2
981.0000,2,4
982.5000,0,4
984.0000,0,4
985.5000,0,4
987.0000,0,3
988.5000,0,2
990.0000,0,1
991.5000,0,1
993.0000,0,1
994.5000,0,1
996.0000,0,2
997.5000,0,1
999.0000,0,2
1000.5000,0,0
1002.0000,1,4
1003.5000,0,3
1005.0000,3,4
1006.5000,0,3
1008.0000,0,2
1009.5000,1,4
1011.0000,0,4
1012.5000,0,1
1014.0000,0,1
1015.5000,0,0
1017.0000,0,1
1018.5000,0,2
1020.0000,0,2
1021.5000,0,2
1023.0000,0,3
1024.5000,0,2
1026.0000,0,3
1027.5000,0,1
1029.0000,0,0
1030.5000,0,0
1032.0000,0,0
1033.5000,0,4
1035.0000,1,4
1036.5000,0,2
1038.0000,0,1
1039.5000,0,3
1041.0000,0,0
1042.5000,0,3
1044.0000,0,2
1045.5000,0,1
1047.0000,0,1
1048.5000,0,3
1050.0000,0,2
1051.5000,0,1
1053.0000,3,4
1054.5000,8,4
1056.0000,7,4
1057.5000,5,4
1059.0000,5,4
1060.5000,6,4
1062.0000,6,4
1063.5000,0,3
1065.0000,0,1
1066.5000,0,0
1068.0000,0,0
1069.5000,0,2
1071.0000,1,4
1072.5000,0,3
1074.0000,0,2
1075.5000,0,1
1077.0000,0,3
1078.5000,0,2
1080.0000,0,0
1081.5000,0,0
1083.0000,0,0
1084.5000,0,1
1086.0000,0,2
1087.5000,0,4
1089.0000,0,2
1090.5000,0,2
1092.0000,0,2
1093.5000,1,4
1095.0000,0,2
1096.5000,0,1
1098.0000,0,0
1099.5000,0,0
1101.0000,0,0
1102.5000,0,1
1104.0000,0,0
1105.5000,0,0
1107.0000,1,4
1108.5000,0,2
1110.0000,0,2
1111.5000,1,4
1113.0000,0,3
1114.5000,0,3
1116.0000,0,1
1117.5000,0,0
1119.0000,0,3
1120.5000,1,4
1122.0000,0,4
1123.5000,0,4
1125.0000,4,4
1126.5000,0,2
1128.0000,0,4
1129.5000,0,2
1131.0000,0,1
1132.5000,0,2
1134.0000,0,1
1135.5000,0,3
1137.0000,0,2
1138.5000,6,4
1140.0000,4,4
1141.5000,4,4
1143.0000,2,4
1144.5000,0,4
1146.0000,0,2
1147.5000,0,2
1149.0000,0,2
1150.5000,0,2
1152.0000,2,4
1153.5000,3,4
1155.0000,9,4
1156.5000,7,4
1158.0000,8,4
1159.5000,7,4
1161.0000,5,4
1162.5000,5,4
1164.0000,16,4
1165.5000,13,4
1167.0000,9,4
1168.5000,8,4
1170.0000,11,4
1171.5000,10,4
1173.0000,6,4
1174.5000,3,4
1176.0000,5,4
1177.5000,5,4
1179.0000,4,4
1180.5000,5,4
1182.0000,6,4
1183.5000,7,4
1185.0000,4,4
1186.5000,5,4
1188.0000,8,4
1189.5000,6,4
1191.0000,13,4
1192.5000,12,4
1194.0000,5,4
1195.5000,4,4
1197.0000,4,4
1198.5000,5,4
1200.0000,18,4
1201.5000,17,4
1203.0000,18,4
1204.5000,18,4
1206.0000,16,4
1207.5000,12,4
1209.0000,12,4
1210.5000,13,4
1212.0000,10,4
1213.5000,8,4
1215.0000,8,4
1216.5000,5,4
1218.0000,3,4
