time,n_waiting,n_busy
300.0000,0,0
301.5000,0,0
303.0000,0,1
304.5000,0,1
306.0000,0,1
307.5000,3,4
309.0000,1,4
310.5000,3,4
312.0000,4,4
313.5000,0,2
315.0000,0,4
316.5000,0,2
318.0000,0,3
319.5000,4,4
321.0000,0,3
322.5000,0,3
324.0000,0,2
325.5000,0,1
327.0000,0,2
328.5000,0,1
330.0000,0,1
331.5000,5,4
333.0000,4,4
334.5000,6,4
336.0000,3,4
337.5000,5,4
339.0000,7,4
340.5000,5,4
342.0000,4,4
343.5000,5,4
345.0000,2,4
346.5000,0,1
348.0000,0,1
349.5000,1,4
351.0000,5,4
352.5000,0,4
354.0000,5,4
355.5000,6,4
357.0000,2,4
358.5000,0,4
360.0000,0,3
361.5000,0,0
363.0000,0,1
364.5000,0,0
366.0000,0,0
367.5000,0,0
369.0000,0,1
370.5000,0,1
372.0000,0,0
373.5000,0,0
375.0000,0,1
376.5000,0,2
378.0000,0,0
379.5000,0,0
381.0000,0,0
382.5000,0,1
384.0000,0,1
385.5000,0,1
387.0000,2,4
388.5000,7,4
390.0000,8,4
391.5000,3,4
393.0000,3,4
394.5000,4,4
396.0000,2,4
397.5000,3,4
399.0000,0,4
400.5000,0,3
402.0000,2,4
403.5000,1,4
405.0000,0,4
406.5000,0,1
408.0000,0,0
409.5000,0,2
411.0000,1,4
412.5000,0,2
414.0000,0,1
415.5000,0,2
417.0000,0,0
418.5000,0,2
420.0000,0,3
421.5000,0,3
423.0000,0,0
424.5000,0,4
426.0000,2,4
427.5000,1,4
429.0000,2,4
430.5000,4,4
432.0000,0,2
433.5000,0,3
435.0000,0,3
436.5000,0,2
438.0000,0,1
439.5000,0,1
441.0000,0,1
442.5000,0,1
444.0000,0,4
445.5000,0,1
447.0000,0,1
448.5000,0,4
450.0000,3,4
451.5000,0,3
453.0000,0,2
454.5000,0,1
456.0000,0,0
457.5000,4,4
459.0000,2,4
460.5000,7,4
462.0000,4,4
463.5000,0,4
465.0000,0,0
466.5000,0,2
468.0000,0,1
469.5000,0,1
471.0000,0,0
472.5000,0,1
474.0000,0,0
475.5000,0,2
477.0000,1,4
478.5000,0,3
480.0000,0,2
481.5000,0,3
483.0000,0,1
484.5000,0,0
486.0000,0,0
487.5000,0,2
489.0000,0,4
490.5000,2,4
492.0000,0,2
493.5000,0,1
495.0000,0,1
496.5000,0,0
498.0000,0,0
499.5000,0,1
501.0000,0,2
502.5000,0,1
504.0000,0,4
505.5000,1,4
507.0000,1,4
508.5000,0,2
510.0000,0,1
511.5000,0,0
513.0000,0,0
514.5000,0,2
516.0000,0,2
517.5000,0,1
519.0000,0,1
520.5000,0,1
522.0000,0,1
523.5000,0,1
525.0000,7,4
526.5000,7,4
528.0000,5,4
529.5000,6,4
531.0000,10,4
532.5000,14,4
534.0000,12,4
535.5000,16,4
537.0000,14,4
538.5000,8,4
540.0000,12,4
541.5000,13,4
543.0000,14,4
544.5000,10,4
546.0000,14,4
547.5000,14,4
549.0000,15,4
550.5000,13,4
552.0000,17,4
553.5000,11,4
555.0000,9,4
556.5000,21,4
558.0000,18,4
559.5000,19,4
561.0000,17,4
562.5000,15,4
564.0000,7,4
565.5000,9,4
567.0000,7,4
568.5000,14,4
570.0000,9,4
571.5000,4,4
573.0000,1,4
574.5000,0,2
576.0000,0,2
577.5000,3,4
579.0000,4,4
580.5000,1,4
582.0000,0,3
583.5000,0,1
585.0000,0,3
586.5000,0,1
588.0000,0,1
589.5000,0,1
591.0000,1,4
592.5000,0,3
594.0000,11,4
595.5000,11,4
597.0000,9,4
598.5000,7,4
600.0000,5,4
601.5000,4,4
603.0000,10,4
604.5000,7,4
606.0000,3,4
607.5000,1,4
609.0000,0,3
610.5000,1,4
612.0000,2,4
613.5000,0,2
615.0000,1,4
616.5000,2,4
618.0000,8,4
619.5000,5,4
621.0000,8,4
622.5000,13,4
624.0000,9,4
625.5000,8,4
627.0000,6,4
628.5000,5,4
630.0000,4,4
631.5000,2,4
633.0000,3,4
634.5000,4,4
636.0000,3,4
637.5000,4,4
639.0000,4,4
640.5000,3,4
642.0000,0,4
643.5000,0,1
645.0000,0,0
646.5000,0,0
648.0000,0,4
649.5000,0,1
651.0000,0,1
652.5000,0,0
654.0000,0,0
655.5000,0,0
657.0000,0,1
658.5000,0,3
660.0000,0,1
661.5000,1,4
663.0000,0,4
664.5000,2,4
666.0000,1,4
667.5000,1,4
669.0000,0,1
670.5000,0,1
672.0000,0,2
673.5000,0,1
675.0000,0,1
676.5000,3,4
678.0000,0,3
679.5000,0,3
681.0000,1,4
682.5000,0,3
684.0000,1,4
685.5000,0,1
687.0000,0,0
688.5000,0,1
690.0000,0,0
691.5000,0,3
693.0000,0,3
694.5000,0,3
696.0000,14,4
697.5000,12,4
699.0000,10,4
700.5000,9,4
702.0000,5,4
703.5000,0,1
705.0000,0,1
706.5000,0,1
708.0000,0,3
709.5000,0,3
711.0000,0,2
712.5000,0,1
714.0000,0,3
715.5000,0,1
717.0000,0,1
718.5000,0,0
720.0000,0,2
721.5000,0,0
723.0000,0,3
724.5000,0,4
726.0000,0,3
727.5000,2,4
729.0000,0,1
730.5000,0,0
732.0000,0,2
733.5000,0,0
735.0000,0,3
736.5000,0,4
738.0000,0,3
739.5000,0,2
741.0000,0,0
742.5000,0,0
744.0000,0,0
745.5000,0,2
747.0000,0,1
748.5000,0,2
750.0000,3,4
751.5000,2,4
753.0000,0,4
754.5000,1,4
756.0000,0,1
757.5000,0,0
759.0000,0,4
760.5000,0,1
762.0000,0,4
763.5000,0,1
765.0000,1,4
766.5000,0,4
768.0000,2,4
769.5000,0,4
771.0000,0,2
772.5000,0,1
774.0000,0,1
775.5000,0,0
777.0000,0,0
778.5000,0,1
780.0000,0,1
781.5000,0,2
783.0000,0,2
784.5000,0,2
786.0000,0,0
787.5000,0,1
789.0000,0,0
790.5000,0,0
792.0000,0,0
793.5000,0,1
795.0000,0,2
796.5000,0,2
798.0000,0,2
799.5000,0,2
801.0000,0,1
802.5000,0,4
804.0000,1,4
805.5000,0,2
807.0000,0,1
808.5000,0,0
810.0000,0,3
811.5000,2,4
813.0000,0,1
814.5000,0,0
816.0000,0,0
817.5000,2,4
819.0000,4,4
820.5000,2,4
822.0000,0,4
823.5000,2,4
825.0000,0,2
826.5000,0,4
828.0000,3,4
829.5000,3,4
831.0000,3,4
832.5000,2,4
834.0000,0,3
835.5000,2,4
837.0000,21,4
838.5000,19,4
840.0000,19,4
841.5000,18,4
843.0000,19,4
844.5000,18,4
846.0000,23,4
847.5000,22,4
849.0000,18,4
850.5000,17,4
852.0000,20,4
853.5000,14,4
855.0000,12,4
856.5000,8,4
858.0000,4,4
859.5000,7,4
861.0000,2,4
862.5000,0,1
864.0000,0,4
865.5000,1,4
867.0000,0,2
868.5000,0,3
870.0000,0,1
871.5000,0,1
873.0000,0,0
874.5000,0,0
876.0000,0,4
877.5000,4,4
879.0000,0,4
880.5000,1,4
882.0000,4,4
883.5000,9,4
885.0000,8,4
886.5000,7,4
888.0000,3,4
889.5000,1,4
891.0000,0,3
892.5000,0,2
894.0000,0,2
895.5000,0,3
897.0000,0,3
898.5000,0,0
900.0000,0,0
901.5000,0,0
903.0000,0,2
904.5000,0,0
906.0000,0,0
907.5000,0,0
909.0000,0,4
910.5000,0,3
912.0000,0,3
913.5000,0,2
915.0000,1,4
916.5000,0,3
918.0000,0,2
919.5000,0,1
921.0000,0,1
922.5000,0,3
924.0000,0,1
925.5000,0,3
927.0000,0,4
928.5000,0,1
930.0000,0,1
931.5000,0,1
933.0000,0,0
934.5000,0,0
936.0000,0,2
937.5000,0,0
939.0000,0,0
940.5000,0,0
942.0000,0,3
943.5000,0,4
945.0000,0,1
946.5000,0,1
948.0000,0,4
949.5000,0,1
951.0000,0,1
952.5000,0,2
954.0000,0,2
955.5000,0,2
957.0000,0,1
958.5000,3,4
960.0000,0,3
961.5000,0,2
963.0000,0,1
964.5000,0,1
966.0000,0,4
967.5000,0,1
969.0000,0,1
970.5000,0,3
972.0000,0,2
973.5000,5,4
975.0000,1,4
976.5000,0,3
978.0000,2,4
979.5000,0,2
981.0000,0,1
982.5000,0,1
984.0000,0,1
985.5000,0,1
987.0000,0,1
988.5000,0,2
990.0000,0,3
991.5000,5,4
993.0000,6,4
994.5000,0,3
996.0000,0,3
997.5000,0,3
999.0000,0,2
1000.5000,0,4
1002.0000,9,4
1003.5000,11,4
1005.0000,15,4
1006.5000,13,4
1008.0000,16,4
1009.5000,23,4
1011.0000,19,4
1012.5000,17,4
1014.0000,17,4
1015.5000,18,4
1017.0000,15,4
1018.5000,13,4
1020.0000,9,4
1021.5000,7,4
1023.0000,9,4
1024.5000,10,4
1026.0000,5,4
1027.5000,0,4
1029.0000,0,3
1030.5000,0,1
1032.0000,0,1
1033.5000,0,2
1035.0000,0,0
1036.5000,0,2
1038.0000,0,4
1039.5000,0,3
1041.0000,0,1
1042.5000,0,4
1044.0000,0,2
1045.5000,0,3
1047.0000,0,1
1048.5000,0,2
1050.0000,0,4
1051.5000,0,3
1053.0000,0,1
1054.5000,0,1
1056.0000,2,4
1057.5000,0,4
1059.0000,0,4
1060.5000,2,4
1062.0000,2,4
1063.5000,0,4
1065.0000,0,2
1066.5000,0,3
1068.0000,0,1
1069.5000,0,0
1071.0000,0,0
1072.5000,0,0
1074.0000,0,0
1075.5000,0,0
1077.0000,0,3
1078.5000,0,1
1080.0000,1,4
1081.5000,1,4
1083.0000,0,3
1084.5000,0,1
1086.0000,0,1
1087.5000,0,3
1089.0000,0,3
1090.5000,2,4
1092.0000,4,4
1093.5000,9,4
1095.0000,4,4
1096.5000,5,4
1098.0000,6,4
1099.5000,3,4
1101.0000,0,4
1102.5000,0,2
1104.0000,0,2
1105.5000,0,0
