customer_id,arrival_time,departure_time
1030,390.163998,422.271310
1031,390.163998,429.377075
1032,391.302931,422.126169
1033,391.793224,422.824742
1034,391.793224,425.561662
1035,393.692268,424.103501
1036,393.692268,423.509923
1037,393.692268,424.315493
1038,394.071925,425.904328
1039,394.389628,424.601348
1040,394.755972,425.114222
1041,395.381821,426.162480
1042,395.534045,426.040586
1043,395.686761,426.720626
1044,397.899645,427.984725
1045,397.899645,426.813825
1046,398.013142,427.241282
1047,398.864133,429.663339
1048,399.966986,429.145311
1049,399.966986,429.357784
1050,400.236435,430.345908
1051,400.396518,430.494469
1052,400.417979,437.170161
1053,401.406993,429.681701
1054,401.406993,433.388911
1055,401.413795,431.042700
1056,402.148897,431.671208
1057,402.148897,431.672394
1058,402.187871,440.706206
1059,402.187871,433.539594
1060,402.187871,435.144095
1061,402.187871,435.056908
1062,402.303260,435.998561
1063,402.303260,437.241882
1064,405.546523,436.315141
1065,406.502232,436.758895
1066,406.502232,436.915268
1067,406.502580,437.339443
1068,406.912453,437.604662
1069,407.194828,437.487192
1070,407.194828,438.741726
1071,407.194828,437.953841
1072,407.346499,441.339245
1073,407.346499,439.328432
1074,407.346499,441.209707
1075,407.346499,440.111750
1076,408.673063,444.033958
1077,408.673063,444.013736
1078,409.048652,441.705728
1079,409.634675,444.628075
1080,409.634675,442.009951
1081,410.674569,443.531673
1082,410.674569,443.674489
1083,410.674569,443.926669
1084,410.768106,445.339714
1085,410.768106,453.105064
1086,410.768106,447.760466
1087,410.768106,445.335807
1088,410.768106,448.801690
1089,411.791216,445.688133
1090,413.093922,446.122535
1091,413.093922,446.530680
1092,413.093922,449.021678
1093,414.170953,453.224041
1094,414.957652,453.185277
1095,415.251209,449.631909
1096,417.243047,449.717356
1097,417.243047,451.730383
1098,417.395473,453.248320
1099,417.730816,462.571027
1100,417.730816,453.872574
1101,417.730816,455.510194
1102,418.278126,456.674250
1103,418.436349,454.077180
1104,419.203119,456.858783
1105,419.748934,456.333747
1106,422.481614,459.309633
1107,422.481614,456.907982
1108,422.631166,457.216251
1109,422.670406,457.226442
1110,422.829019,457.295122
1111,422.829019,457.353297
1112,422.829019,458.922781
1113,423.669333,459.010881
1114,423.669333,461.645425
1115,423.947671,459.407026
1116,423.947671,459.358806
1117,423.947671,459.805110
1118,423.947671,459.696779
1119,423.947671,461.214962
1120,423.947671,460.853389
1121,423.947671,464.623802
1122,423.947671,461.599413
1123,426.172840,461.836052
1124,427.835841,462.191913
1125,427.844454,463.470920
1126,428.244153,462.847979
1127,428.441968,466.121379
1128,428.441968,467.666335
1129,428.466638,463.868092
1130,428.466638,463.957716
1131,428.466638,466.273958
1132,428.655701,464.736166
1133,428.655701,467.944073
1134,429.212784,474.645813
1135,429.631736,466.663767
1136,430.848904,467.008388
1137,431.659043,467.127120
1138,431.659043,467.980277
1139,431.929926,471.426602
1140,432.174479,468.060265
1141,432.174479,470.793667
1142,434.114477,468.142114
1143,434.114477,468.362997
1144,434.114477,469.332853
1145,435.481467,472.729800
1146,435.967381,475.378020
1147,436.616225,475.731261
1148,438.784388,473.431317
1149,439.208420,475.572466
1150,440.866430,480.931557
1151,440.866430,476.302890
1152,440.866430,477.130991
1153,442.038707,476.311480
1154,443.003823,477.494830
1155,443.212610,476.599207
1156,443.212610,477.223713
1157,443.212610,477.481256
1158,443.212610,477.494509
1159,443.334897,477.962487
1160,443.334897,487.818507
1161,443.334897,477.658609
1162,443.358956,477.931897
1163,443.519816,477.996405
1164,443.519816,478.615965
1165,443.519816,478.808550
1166,443.519816,479.105781
1167,443.998698,479.131801
1168,444.128444,479.737081
1169,444.842513,479.811896
1170,444.842513,480.169898
1171,444.842513,479.896471
1172,446.018603,480.695309
